date,target_length,forecast_length,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-02-15,11051.237979783296,6779.564389205015,54.64182249471837,60.06110224717112,65.90215940304502,62.37415938787983,49.87461807304149,8.883080021256497,1082230.0,216768.0,122545.0,113936.0,175632.0,1103984.0,39603.0,1200191.0,125949.0,117034.0,79706.0,82896.0,1230670.0,18252.0
2022-02-18,12796.635128871838,6222.692239478832,19.014506086852485,33.432384313280544,31.80545707804867,34.970696560683,47.88944354672409,3.5603451515101336,1070908.0,184805.0,68067.0,68374.0,147390.0,1275024.0,40130.0,1089895.0,131517.0,105906.0,80468.0,171110.0,1243629.0,32173.0
2022-02-21,7759.005081426178,5654.695198071594,23.271474481905006,24.87217862435979,39.13289058461544,39.511829594127846,44.17340575660072,9.845367860782057,1066124.0,127453.0,138304.0,70077.0,121615.0,1278060.0,53065.0,1063803.0,113498.0,93627.0,64909.0,133811.0,1356123.0,28927.0
2022-02-22,7759.531993360763,5512.451511363959,19.636399484139183,28.571694227157575,37.49181114838934,39.6652011900789,39.50305763050472,8.590276940454148,1080786.0,125294.0,124714.0,79269.0,139738.0,1251426.0,53471.0,1062742.0,115693.0,96612.0,81632.0,117946.0,1349025.0,31048.0
2022-02-25,6907.143032967733,5353.12560955613,29.971666253980764,30.021487298734353,37.426093250946394,45.673161832111994,90.84286889618771,6.043704782363996,1120078.0,98998.0,116441.0,82900.0,247936.0,1133350.0,54995.0,1060785.0,121989.0,93678.0,67088.0,125673.0,1344734.0,40751.0
2022-02-28,9104.79815411384,5318.876872214593,21.060092430193645,26.4286888425251,32.69398494143349,38.105245696114594,49.152316375738145,8.928075009590739,1091000.0,145159.0,89546.0,86079.0,166721.0,1223505.0,52688.0,1092033.0,115084.0,90037.0,59420.0,135059.0,1328593.0,34472.0
2022-03-01,8843.037656739363,5247.2616485254375,27.458731329638525,33.03584437555512,35.56543405673479,34.62851990285483,49.79977524623536,8.69374659132532,1095402.0,129287.0,85263.0,81174.0,168535.0,1242358.0,52679.0,1100330.0,110520.0,87303.0,64770.0,124307.0,1330485.0,36983.0
2022-03-04,9762.788052846125,5435.049491110394,19.782782190719526,40.631864156181564,36.39770460544887,34.11501971095728,36.078179844181854,7.325333384018785,1113858.0,174601.0,59471.0,55878.0,103375.0,1297637.0,49878.0,1108308.0,111943.0,86878.0,58065.0,132711.0,1321827.0,34966.0
2022-03-07,9400.29057816307,5778.27593387537,18.903791668799233,34.547951353333865,49.26480832387184,47.266885743196134,42.70406755663352,6.95662199777443,1163595.0,175882.0,115835.0,46413.0,67908.0,1234810.0,50255.0,1159507.0,120700.0,92649.0,53484.0,113383.0,1280421.0,34554.0
2022-03-08,9060.419474457407,6135.159230889811,25.05257841357933,37.11089959046078,54.91054843976243,61.83310253984611,72.40933332225167,5.798434336184587,1153392.0,210624.0,114958.0,83193.0,103357.0,1140891.0,48283.0,1184694.0,131332.0,86458.0,56239.0,89242.0,1268623.0,38110.0
2022-03-11,8466.02650945105,6629.516661990269,46.720554221690364,40.07388243580243,64.30801868028428,75.85974955078602,64.57322920337488,4.75051194525886,1275131.0,110205.0,138808.0,84983.0,79016.0,1118208.0,48347.0,1157293.0,154669.0,95747.0,63383.0,149545.0,1193945.0,40116.0
2022-03-14,8410.142166416048,9484.150534580389,30.377800460833875,53.1330690796145,56.579970234313514,54.406688765456636,52.00142781396896,4.98250067731667,1243960.0,185052.0,165232.0,85039.0,64374.0,1064098.0,46943.0,1257136.0,183803.0,137661.0,59687.0,88575.0,1088034.0,39802.0
2022-03-15,11918.9984771578,8751.206271021785,42.946736094248195,62.76616203433131,70.26779663107891,65.9297706410987,58.01552174710362,5.055570616696895,1306516.0,201379.0,163294.0,72672.0,54020.0,1012075.0,44742.0,1245376.0,161115.0,145382.0,76854.0,97522.0,1086202.0,42247.0
2022-03-18,10559.90493530051,8358.23466225275,41.44254743626154,50.360257759501415,62.98194880133694,56.94493611619973,61.92270549305332,3.81660711303689,1237987.0,193863.0,141209.0,80140.0,157823.0,1001185.0,42491.0,1291503.0,154484.0,146624.0,71363.0,109681.0,1045068.0,35975.0
2022-03-21,13066.820987097011,5837.075969769107,41.04578563881741,52.55840982774816,54.21307365075064,49.49340006913226,49.67720932085953,3.9486641737519994,1166886.0,190647.0,117010.0,83530.0,152023.0,1105752.0,38850.0,1205931.0,132793.0,101224.0,81186.0,136630.0,1162396.0,34538.0
2022-03-22,13050.035236553145,5451.29822845191,46.09992581356968,51.485517946030406,61.40280729284653,56.110441617299436,55.67439436464365,3.946710482726046,1108005.0,181402.0,94402.0,98948.0,154246.0,1179643.0,38052.0,1177687.0,126886.0,104011.0,83409.0,162650.0,1166131.0,33924.0
2022-03-25,8594.04270737321,6286.421207560716,25.779835264597914,35.18277919737542,44.762774676501444,48.892972876852895,55.98106201747793,4.822582758199496,1053214.0,178542.0,107013.0,83021.0,213069.0,1181938.0,37901.0,1109315.0,112653.0,115694.0,77613.0,129849.0,1281441.0,28133.0
2022-03-28,8489.129973107243,5527.4809486154545,21.21547219909905,33.871254628296604,43.966674919894956,54.988563386758926,45.355565914688945,3.9748080776829107,1041556.0,138515.0,111575.0,96781.0,163295.0,1263234.0,39742.0,1054824.0,119945.0,91827.0,80827.0,171795.0,1304449.0,31031.0
2022-03-29,6877.029288574974,5446.711395993743,29.21150155365829,29.236839906926644,37.08046792977456,42.66375396265194,47.015113391387025,4.479257783327721,1044155.0,128477.0,95582.0,68250.0,222520.0,1256652.0,39062.0,1013169.0,128622.0,108226.0,85628.0,163273.0,1323535.0,32245.0
2022-04-01,6331.861720313023,4757.021966431106,9.9656818335567,28.5045579828166,38.705628178569825,39.24565966076615,100.23925863012599,10.914238572457739,1074432.0,122365.0,107283.0,55867.0,237539.0,1199177.0,58035.0,1056502.0,99660.0,84140.0,63635.0,129056.0,1390190.0,31515.0
2022-04-04,8814.510744804757,5086.839246267585,20.953783448000042,26.94867932134351,34.47970819533811,37.64648122564737,41.01605058903413,10.609989123184866,1061378.0,120154.0,86205.0,77308.0,113943.0,1337717.0,57993.0,1085192.0,109248.0,89114.0,61220.0,98440.0,1377789.0,33695.0
2022-04-05,8133.460925548881,4982.8686835191065,23.22712435392937,27.557802329628014,34.971554102109046,36.672832527903935,38.696502176755445,11.84912380515167,1053398.0,124422.0,83339.0,63172.0,129389.0,1342783.0,58195.0,1101890.0,93458.0,79908.0,54749.0,103614.0,1388893.0,32186.0
2022-04-08,6392.820089752691,5126.076836320829,28.530537504126322,29.604459869400838,42.86157359483808,50.435640012874934,47.76165657313715,11.772353618098402,1145729.0,93191.0,141039.0,77829.0,79757.0,1282987.0,34166.0,1096135.0,93711.0,102316.0,64157.0,89431.0,1374214.0,34734.0
2022-04-19,8765.997072199518,4224.551836958483,18.106398133865213,29.20329120276981,27.549446018595063,26.417213111074254,29.16869843628531,4.138305446747014,1137741.0,117640.0,58141.0,42852.0,83900.0,1362124.0,52300.0,1139585.0,92106.0,68080.0,42525.0,91265.0,1374516.0,46621.0
2022-04-22,6122.452557384534,4289.333582888994,21.581597278416524,21.30211149251091,26.1983205555344,28.455906049759555,54.05272458780144,3.5348008170826395,1102136.0,111573.0,74604.0,42264.0,137690.0,1337471.0,48960.0,1115603.0,90763.0,67460.0,40854.0,82489.0,1412846.0,44683.0
2022-04-25,6129.914498161653,3946.7051198704967,24.55662505123945,21.0144952057543,35.84967394636897,38.256162514862474,43.840661761051265,4.506867150340137,1028084.0,107159.0,94837.0,55826.0,95646.0,1422007.0,51139.0,1069478.0,94201.0,73927.0,49631.0,99795.0,1422685.0,44981.0
2022-04-26,7929.844655839218,4596.944801964819,20.27576659893742,22.550727706414502,40.02517451197547,46.02764823012247,59.602988666452454,3.2974945169265233,1017583.0,116021.0,118846.0,60691.0,90066.0,1400363.0,51128.0,1048394.0,99043.0,78524.0,54916.0,103140.0,1425938.0,44743.0
2022-04-29,9699.540361525122,4288.594513539347,16.63461680123205,23.622320000066086,30.782202289778365,33.67627637049777,45.76096911064944,12.468127027639389,982660.0,147886.0,83993.0,47230.0,70398.0,1499520.0,23011.0,1004389.0,99393.0,84783.0,58906.0,121731.0,1438706.0,46790.0
2022-05-02,8390.330983234007,3532.5720394939876,14.844672512260837,21.241132771263313,41.0532276402378,45.23727740142404,46.65375709184426,13.809702637572874,974089.0,114902.0,98906.0,55325.0,86711.0,1473176.0,51589.0,971897.0,100431.0,72913.0,54719.0,102750.0,1529929.0,22059.0
2022-05-03,7204.960312804189,3907.0116856945397,17.625560209575475,23.68211527109708,41.59929854236644,37.04817226540031,38.18025471138603,2.647404048268267,988825.0,89292.0,108421.0,43037.0,108406.0,1465131.0,51586.0,969047.0,97417.0,78145.0,59448.0,124108.0,1478302.0,48231.0
2022-05-06,6229.057679805945,4420.873734152923,19.543251112291372,23.235434722350128,37.83981328509568,44.49903029508248,57.2514934193443,2.2750994694999274,999035.0,93948.0,126870.0,85723.0,141020.0,1356114.0,51988.0,993113.0,92267.0,97173.0,63838.0,103254.0,1456967.0,48086.0
2022-05-09,5062.008727101789,4632.453423936164,21.984273788056914,34.740365540051705,47.97617432730131,45.365673144773005,61.992585112272174,14.070060406807375,1040068.0,100168.0,123273.0,40123.0,112246.0,1417577.0,21243.0,998165.0,95276.0,100944.0,59818.0,110548.0,1442747.0,47200.0
2022-05-10,6792.401871577022,3939.0116856945256,17.5481213323253,22.968488049296546,56.75243642300804,58.57734567134524,79.16443921157568,2.811514222157337,1037565.0,84962.0,178481.0,64968.0,132465.0,1308878.0,47379.0,1021517.0,94283.0,95789.0,54177.0,95818.0,1449827.0,43287.0
2022-05-13,9307.898659177243,4289.729506488153,27.243681343184292,48.180870736601484,63.338284204617274,67.47150399167343,65.63527550258509,1.8566967283771585,1033176.0,162437.0,99205.0,76368.0,110596.0,1326540.0,46376.0,1044584.0,97250.0,135309.0,66235.0,115227.0,1351615.0,44478.0
2022-05-16,9762.362691995471,6054.116554308951,28.999271281040915,46.897142233827694,63.7019062335386,72.02002884952662,74.08755480635972,6.049914363169592,999776.0,154686.0,187788.0,101578.0,149888.0,1213934.0,47048.0,1043365.0,109853.0,102176.0,69786.0,161884.0,1324025.0,43609.0
2022-05-20,11543.263412421518,7038.879143724561,27.8888523139587,50.061475829782765,55.497787312193225,57.07355462092535,64.06077092460698,3.926987028099841,1056976.0,187579.0,118276.0,83178.0,186923.0,1173529.0,48237.0,1040560.0,145996.0,137486.0,85530.0,157139.0,1243173.0,44814.0
2022-05-24,10526.019725713815,7021.919728264371,60.64423826713484,53.62268065006372,73.11412492524114,95.37120889010666,108.62016889638174,10.604446662914496,1080230.0,224638.0,222932.0,146289.0,156104.0,974520.0,49985.0,1162386.0,151734.0,128444.0,81643.0,137397.0,1149493.0,43601.0
2022-05-30,14191.116585101614,9472.096710711221,16.78036063194633,51.091842566189044,66.40315750984226,50.8874369892744,42.765180805658986,5.830812356427389,1228900.0,189760.0,168713.0,128473.0,135986.0,958392.0,44474.0,1244402.0,183636.0,205989.0,80943.0,124069.0,970820.0,44839.0
2022-05-31,12526.227011963872,9594.683543169376,28.87994541086621,57.66184602849491,68.08865662199743,52.472836854004626,39.74772742184071,5.678772836484219,1237762.0,228298.0,149653.0,114498.0,130153.0,950466.0,43868.0,1276459.0,184008.0,208259.0,67463.0,118222.0,956116.0,44171.0
2022-06-07,8872.648875815132,6473.7704499656575,31.14234587351727,42.78788883347848,41.34827607991091,40.51356712360582,40.016072259374106,3.6094397262668907,1506200.0,222313.0,93716.0,58073.0,100763.0,840138.0,33495.0,1501809.0,181222.0,141046.0,59546.0,90936.0,847036.0,33103.0
2022-06-10,7802.253818767697,5408.628134873065,25.659532459528968,25.65499357847769,31.39378972949446,36.61597869176569,34.658483082014214,3.145031942986039,1565320.0,153218.0,102184.0,61085.0,118722.0,821385.0,32784.0,1525630.0,168285.0,112178.0,55577.0,117724.0,845844.0,29460.0
2022-06-13,10447.15262662153,5542.522579175813,31.234876035735365,33.49962030774458,31.876108857964777,35.371619899298594,37.983246946402005,2.424427087948011,1559913.0,182772.0,89587.0,67222.0,133604.0,791217.0,30383.0,1570064.0,130264.0,101789.0,59598.0,117558.0,846747.0,28678.0
2022-06-14,8957.96763494802,5583.5581130817545,27.730027324516573,32.19224577798034,38.56328675648441,41.53533264933701,42.29240670395444,2.3735793137457613,1574806.0,168022.0,99190.0,80026.0,119928.0,782495.0,30231.0,1547595.0,153336.0,105916.0,65724.0,118010.0,835596.0,28521.0
2022-06-17,7783.394908370885,6120.181525466407,26.843177887465973,31.700558949877664,41.13531427802075,41.25658037944019,66.18055378680279,1.9023619660173374,1624148.0,122855.0,157631.0,70766.0,107635.0,742032.0,29631.0,1597209.0,145625.0,113654.0,55846.0,112730.0,803043.0,26591.0
2022-06-20,9204.874272559595,7133.17456226031,53.341254952033026,52.20571971596598,46.48795485324084,44.409403286072134,52.77675036628705,3.467204879255629,1730853.0,155062.0,102235.0,68505.0,68486.0,701998.0,27559.0,1661333.0,165714.0,127117.0,60388.0,77660.0,739027.0,23459.0
2022-06-21,7479.619259094796,7773.780730702288,56.56759418900602,46.79975850136729,44.989944888246484,47.091757847818876,31.724356345463438,3.9174499214828393,1799369.0,154653.0,106017.0,55088.0,28082.0,686124.0,25365.0,1697650.0,164218.0,133858.0,50679.0,80759.0,705067.0,22467.0
2022-06-24,9164.201220387955,5507.759123208493,32.50022383167012,36.93812150302562,36.210785363112635,23.044854012801334,24.999713291053265,4.247918389384535,1815331.0,175008.0,95504.0,26088.0,25374.0,690953.0,26440.0,1790171.0,153771.0,106255.0,63557.0,46168.0,676479.0,18297.0
2022-06-27,9908.488629697025,6878.32784517231,48.75402806686817,36.20250164657614,28.83359370333845,21.65221173092812,25.367314620297197,2.871463049666347,1865065.0,116128.0,90903.0,38859.0,34173.0,685463.0,24107.0,1779929.0,188149.0,94164.0,36005.0,43715.0,691521.0,21215.0
2022-06-28,10171.660202572308,6680.75825665684,44.16288803762202,29.442866519067845,25.24959245464933,20.2467857769865,22.258314995845208,2.5052352072050192,1838042.0,140131.0,69467.0,46599.0,51650.0,688051.0,20758.0,1765197.0,179637.0,94955.0,45044.0,55353.0,694365.0,20147.0
2022-07-01,10969.38011540704,6066.9327881248655,23.87473250032405,31.05132599005491,32.04262086901936,33.83406019335696,29.502617375039605,3.4788512018227853,1805880.0,183454.0,62428.0,50493.0,73914.0,663789.0,14740.0,1815857.0,147405.0,68109.0,51632.0,54447.0,700198.0,17050.0
2022-07-04,8878.264099504298,5976.808942464353,52.019009275650454,38.39861081430806,30.40803115954452,25.89605973068086,22.585682001229216,1.6907902746101517,1934123.0,105585.0,61678.0,39249.0,61841.0,638520.0,13702.0,1806014.0,161714.0,75811.0,47563.0,68398.0,684003.0,11195.0
2022-07-05,9395.810347422688,4192.499059109812,54.17240080371154,39.14754092915546,36.75924358812207,34.312546136304256,22.50961655672386,1.7871197300173152,1841590.0,151317.0,61210.0,50452.0,83347.0,652977.0,13805.0,1931368.0,121254.0,47795.0,34036.0,55443.0,653489.0,11313.0
2022-07-08,4992.204686594697,5300.769224476273,67.08598374537127,52.813127189568554,45.57065402256244,34.274909538663536,25.532559639483008,1.5922905788888004,1932471.0,113337.0,61823.0,32282.0,52234.0,649886.0,12665.0,1815117.0,156864.0,73555.0,58242.0,68670.0,671649.0,10601.0
2022-07-11,7041.292311266415,3889.438092565724,87.76689597432521,33.85635476652454,26.0001868887421,24.70462637259585,26.763430956213732,2.717642622991974,1820361.0,252421.0,68123.0,43355.0,50662.0,608114.0,11662.0,1944973.0,132477.0,59122.0,33278.0,31421.0,643769.0,9658.0
2022-07-12,8054.339171929466,4718.246317154977,52.582998444626504,36.165711146883844,29.093312522468892,26.274166219123938,35.04999906466711,2.9242109688309457,1860719.0,233103.0,54591.0,44106.0,65420.0,585129.0,11630.0,1889718.0,161204.0,72542.0,42208.0,38737.0,642210.0,8079.0
2022-07-15,6495.330803765124,4592.115328819514,43.714585291599356,36.50284696829408,27.818121975913005,29.145077418911335,34.002682165601634,3.366984118239109,1919336.0,238645.0,30975.0,31038.0,62978.0,561351.0,10375.0,1924400.0,184092.0,58201.0,42590.0,53407.0,587029.0,4979.0
2022-07-18,4997.797615707232,4078.8462094736833,49.426441597379586,35.00260583130847,36.38108180262894,33.46582661753485,34.94788372280615,3.3673640339109157,1976966.0,193745.0,62416.0,23457.0,42410.0,550298.0,5406.0,1984879.0,165880.0,51152.0,35446.0,58157.0,553773.0,5411.0
2022-07-19,4664.405696721438,3941.5081143570633,43.196637219983884,30.10558034123857,28.767682259069947,29.50961800824507,34.33536121957236,3.4206054059568953,2009795.0,157901.0,62980.0,30277.0,45001.0,544095.0,4649.0,2012747.0,153466.0,44782.0,30734.0,52964.0,556440.0,3565.0
2022-07-22,4592.937659289888,3828.372075387738,28.908865076371427,33.88169769130366,32.7427963810552,29.045064854274514,29.15722937725353,2.4719335256528905,2031420.0,156301.0,73202.0,35816.0,40326.0,513084.0,4549.0,2034160.0,122900.0,67440.0,39948.0,39606.0,549814.0,830.0
2022-07-25,6836.846568411439,3955.029975657756,58.36988032879317,44.002019644185545,27.684081993212708,28.555254859012347,24.174073285777048,2.291535183511721,2048768.0,172758.0,43849.0,27471.0,42987.0,515002.0,3863.0,2042864.0,122697.0,69218.0,43003.0,48148.0,528071.0,697.0
2022-07-26,7315.002989385076,3483.2227970890654,40.031218558995874,38.30926151891172,27.68904179576632,27.9919088915551,29.063592461269234,2.364007874369418,2102267.0,108846.0,45327.0,31407.0,46272.0,516708.0,3871.0,2051710.0,113991.0,69196.0,47163.0,52236.0,519951.0,451.0
2022-07-29,4500.001584426817,3288.2755749376975,16.141562906844648,24.36784792003481,24.62017445097885,34.39049245148647,35.69246801086342,1.2807038460124853,2088752.0,130228.0,24091.0,26887.0,33966.0,549375.0,1399.0,2104538.0,120177.0,35531.0,28799.0,43895.0,519865.0,1893.0
2022-08-01,4439.747796451381,3233.5892834366846,11.369191695325352,28.82289464935614,24.682732166768496,35.30614624933634,30.28781496012982,0.8891361244535433,2100196.0,135649.0,18546.0,40101.0,37118.0,521988.0,1100.0,2091787.0,125859.0,37615.0,24972.0,31102.0,543180.0,183.0
2022-08-02,3894.3487347906275,3198.5476528763356,44.41600849984717,33.83160299301931,30.517506586617984,35.58165292553578,28.337222567179726,1.078820060063292,2060864.0,179912.0,22570.0,34594.0,39738.0,515759.0,1261.0,2110014.0,112210.0,41630.0,25654.0,35904.0,529199.0,87.0
2022-08-05,5382.792565073397,2961.309016802578,32.031510667880724,32.173859184035926,28.69715140359307,35.6559823971586,29.848317664674287,0.9654942834874685,2046126.0,188926.0,28520.0,25744.0,47720.0,516304.0,1358.0,2074692.0,135252.0,45454.0,34313.0,52589.0,512288.0,110.0
