,0,1,2,3,4,5,6
20220707,50747,851,1468,1278,4649,10351,744
20220708,50569,891,1455,1703,4172,8257,3041
20220709,50505,724,1315,1438,4067,9684,2355
20220710,50498,624,1243,1375,3369,11662,1317
20220711,50613,663,1444,1786,4373,8649,2560
20220712,50820,463,1406,1687,5640,7791,2281
20220713,51941,204,1098,1264,3902,8966,2713
20220714,52102,331,1037,775,2117,8778,4948
20220715,52241,270,1210,832,2855,9080,3600
20220716,53287,241,817,677,1763,10105,3198
20220717,53595,223,833,529,1280,9978,3650
20220718,53900,326,749,548,850,6143,7572
20220719,53906,308,784,752,3969,9256,1113
20220720,53958,424,858,883,1535,10418,2012
20220721,54070,522,1068,990,3791,8224,1423
20220722,54368,458,969,1693,4483,5486,2631
20220723,54363,542,1468,1699,4989,5643,1384
20220724,54734,484,1083,940,3026,9250,571
20220725,54990,393,963,878,3083,8985,796
20220726,55066,231,975,720,1185,8189,3722
20220727,55133,382,896,753,1149,5559,6216
20220728,55047,280,1119,795,843,6526,5478
20220729,54858,575,1146,719,1112,5777,5901
20220730,54880,458,935,931,2121,8402,2361
20220731,55309,381,768,576,1834,10107,1113
20220801,55080,492,961,1160,2592,8934,869
20220802,55235,280,990,1182,5185,7058,158
20220803,55345,268,887,977,3150,8200,1261
20220804,55424,300,948,940,2315,8732,1429
20220805,55370,398,1058,928,1641,8551,2142
20220806,55354,310,1147,896,1490,9712,1179
20220807,55079,362,1234,987,2035,8663,1728
20220808,54923,783,1393,902,1621,8631,1835
20220809,54891,617,1398,996,1343,8565,2278
20220810,54940,569,1194,945,1421,8028,2991
20220811,55101,474,1088,1100,1595,8535,2195
20220812,55192,639,1415,889,2105,8263,1585
20220813,55007,743,1320,841,1733,9233,1211
20220814,54950,708,1309,906,1355,8046,2814
20220815,54734,798,1331,883,1700,8843,1799
20220816,54694,771,1418,1098,1889,8247,1971
20220817,54628,470,1454,1285,1980,8260,2011
20220818,55040,497,1670,997,1618,7165,3101
20220819,55597,985,1249,1002,2321,6402,2532
20220820,55812,865,1290,1017,2098,7637,1369
20220821,55578,652,1284,1529,2539,7341,1165
20220822,55451,605,1059,1080,2442,8385,1066
20220823,55137,773,1379,1343,2511,7409,1536
20220824,54674,738,1563,1511,3835,6578,1189
20220825,54331,897,1729,1732,3388,6908,1103
20220826,53989,951,1871,1836,4940,6276,225
20220828,54294,931,1721,1904,3460,6480,1298
20220829,54108,667,1464,1518,2433,8318,1580
20220830,54213,671,1540,1527,2568,8054,1515
20220831,54384,780,1325,1395,2274,8432,1498
20220901,55261,434,912,712,1132,5999,5638
20220902,54912,581,1143,855,1122,5155,6320
20220903,54624,808,1533,1358,1812,6218,3735
20220904,54420,607,1298,1489,2016,6994,3264
20220905,53891,972,1776,1634,1981,6791,3043
20220906,54084,704,1496,1462,1722,5061,5559
20220907,53967,804,1556,1627,1825,5450,4859
20220908,53915,639,1434,1740,1978,6578,3804
20220909,53645,674,1454,1565,2184,7011,3555
20220910,53412,977,1826,1821,2325,7951,1776
20220911,53200,1264,1863,1561,2461,8768,971
20220912,52969,965,1766,1762,2577,8619,1430
20220913,53637,1060,1665,1452,1820,6958,3496
20220914,53463,954,1260,1259,1558,7067,4527
20220915,53462,930,1208,1105,1166,6737,5480
20220916,53316,865,1207,1146,1668,6243,5643
20220917,53292,723,1231,1174,1562,5390,6716
20220918,53279,861,1082,1099,1501,5220,7046
20220919,53562,662,989,938,1308,6807,5822
20220920,53390,826,1377,1078,1200,7977,4240
20220921,53345,830,1095,1090,1301,7817,4610
20220922,53592,829,1070,842,768,6450,6537
20220923,54222,486,1348,1059,796,5663,6514
20220924,55177,883,1148,798,972,4129,6981
20220925,55351,461,1128,1096,1198,5360,5494
20220926,55866,639,1185,808,721,4037,6832
20220927,56304,762,1038,662,1233,7034,3055
20220928,55963,655,1109,835,785,6706,4035
20220929,55822,530,1086,777,672,3805,7396
20220930,55590,609,1027,543,653,4091,7575
20221001,55498,650,1033,565,629,3137,8576
20221002,55683,660,948,681,569,2681,8866
20221003,55745,697,767,521,548,5072,6738
20221004,55380,688,874,511,540,4083,8012
20221005,55744,588,840,533,821,6004,5558
20221006,55833,590,921,602,952,6679,4511
20221007,55628,401,1069,625,958,7267,4140
20221009,55272,732,985,708,1041,7831,3519
20221010,55292,683,872,669,1086,5781,5705
20221011,55072,666,823,507,785,6025,6210
20221012,54929,705,910,464,567,4504,8009
20221013,54695,845,1050,493,518,5196,7291
20221014,54552,721,1006,481,525,7027,5776
20221015,54111,729,897,583,961,8631,4176
20221016,53945,697,787,663,1247,9274,3475
20221017,53515,553,844,639,923,8213,5401
20221018,53160,604,748,657,1119,10404,3396
20221019,52594,818,856,798,1478,11122,2422
20221020,52724,737,906,784,1292,10205,3440
20221021,52549,756,913,653,971,7960,6286
20221022,52624,656,779,629,819,8122,6459
20221023,52503,658,645,612,731,8907,6032
20221024,52440,602,689,487,679,8625,6566
20221025,52138,620,789,564,825,8326,6826
20221026,51929,607,701,586,688,6172,9405
20221027,51376,654,736,582,771,7432,8537
20221028,51046,674,914,824,1220,9105,6305
20221029,51394,750,1021,809,1049,9980,5085
20221030,51819,702,939,712,937,9681,5298
20221031,51475,765,957,696,978,9117,6100
20221101,51150,560,897,715,869,7946,7951
20221102,50991,503,957,577,870,7428,8762
20221103,50937,685,1053,623,979,7094,8717
20221104,51042,686,1028,668,1302,8096,7266
20221105,50890,660,985,708,1006,7347,8492
20221106,50491,683,920,828,1013,7485,8668
20221107,50334,650,906,786,1394,10577,5441
20221108,49781,715,885,683,1450,13307,3267
20221109,49429,719,946,707,1306,13275,3706
20221110,48848,796,1250,840,1262,11961,5131
20221111,48982,649,802,732,1289,10536,7098
20221112,49087,514,743,713,1051,10194,7786
20221113,48808,663,798,686,1034,11025,7074
20221114,48257,649,958,767,1067,11743,6647
20221115,47659,655,1030,893,1091,9443,9317
20221116,47346,523,998,807,1251,13709,5454
20221117,47545,602,1245,1217,2117,14664,2698
20221118,47567,708,1239,913,1775,13018,4868
20221119,47391,635,1234,1114,2058,12800,4856
20221120,47407,524,1036,934,1979,10149,8059
20221121,47312,649,1060,904,1749,12549,5865
20221122,46748,718,1138,1044,2185,12772,5483
20221123,46835,678,1010,1058,2724,13440,4343
20221124,46173,762,996,1061,2979,13481,4636
20221125,46309,670,952,873,1884,11342,8058
20221126,46273,637,957,852,1356,9656,10357
20221127,46301,621,872,794,1021,8945,11534
20221128,46706,587,904,743,932,7872,12344
20221129,46797,658,1092,981,1258,8317,10985
20221130,47418,698,1194,1148,1424,8938,9268
20221201,47662,704,1283,1133,1403,11301,6602
20221202,48194,721,1000,928,1605,9370,8270
20221203,47516,839,1499,1469,2781,14004,1980
20221204,47189,677,1254,1407,2996,14480,2085
20221205,46363,1295,2087,2129,4380,12795,1039
20221206,45474,1072,1729,2362,4110,14049,1292
20221207,44636,943,1508,1740,3410,15821,2030
20221208,44515,886,1410,1896,3201,14725,3455
20221209,44106,782,1322,1930,3240,12740,5968
20221210,43651,931,1411,1749,2604,12714,7028
20221211,43214,1005,1698,1958,2869,17204,2140
20221212,43218,1229,1784,1968,3347,16878,1664
20221213,42899,1063,1751,1659,2705,16931,3080
20221214,41924,865,1427,1714,2468,16965,4725
20221215,41190,785,1342,1565,2822,16375,6009
20221216,41566,911,1471,1733,2824,18491,3092
20221217,41498,977,1665,1817,2481,19006,2644
20221218,41152,973,1574,1931,2764,18738,2956
20221219,40759,890,1604,1965,2631,19584,2655
20221220,40924,876,1531,1663,2464,17380,5250
20221221,40596,883,1700,1995,2693,18493,3728
20221222,39868,818,1425,1890,2817,19164,4106
20221223,39080,963,1596,2014,3984,20195,2256
20221224,39335,911,1477,1783,2943,20675,2964
20221225,38953,757,1409,1531,2505,18399,6534
20221226,38636,806,1220,1328,1881,17118,9099
20221227,38471,859,1215,1298,2238,19169,6838
20221228,38994,694,1306,1225,2144,20267,5458
20221229,40451,889,1410,1454,3302,17959,4623
20221230,41524,985,1597,1837,3555,17752,2838
20221231,41955,846,1574,1745,3451,17613,2904
